airport_code,lat,lng
BJA,36.712000,5.070000
BJF,70.600000,29.692000
BJL,13.338000,-16.652000
BJM,-3.324000,29.318000
BJO,-22.769000,-64.315000
BJR,11.608000,37.321000
BJW,0.000000,0.000000
BJX,20.993000,-101.481000
BJZ,38.891000,-6.821000
BKF,39.702000,-104.751000
BKH,22.022000,-159.787000
BKI,5.937000,116.051000
BKJ,0.000000,0.000000
BKK,13.912000,100.607000
BKM,0.000000,0.000000
BKO,12.533000,-7.950000
BKR,0.000000,0.000000
BKS,-3.864000,102.341000
BKU,0.000000,0.000000
BKY,-2.309000,28.809000
BKZ,0.000000,0.000000
BLA,10.107000,-64.689000
BLC,0.000000,0.000000
BLE,60.422000,15.515000
BLG,0.000000,0.000000
BLI,48.792000,-122.537000
BLK,53.772000,-3.029000
BLL,55.740000,9.152000
BLQ,44.534000,11.290000
BLR,12.950000,77.668000
BLV,38.545000,-89.835000
BLZ,-15.679000,34.974000
BMA,59.354000,17.941000
BMB,0.000000,0.000000
BMD,0.000000,0.000000
BME,0.000000,0.000000
BMK,53.595000,6.709000
BMM,2.076000,11.493000
BMU,-8.539000,118.687000
BMW,0.000000,0.000000
BNA,36.124000,-86.678000
BNB,0.000000,0.000000
BNC,0.000000,0.000000
BND,27.218000,56.378000
BNE,-27.384000,153.118000
BNI,6.317000,5.599000
BNN,65.459000,12.214000
BNR,0.000000,0.000000
BNS,8.619000,-70.221000
BOB,-16.444000,-151.751000
BOC,9.341000,-82.251000
BOD,44.828000,-0.716000
BOE,0.000000,0.000000
BOG,4.701000,-74.147000
BOH,50.780000,-1.843000
BOI,43.564000,-116.223000
BOJ,42.569000,27.514000
BOM,19.089000,72.868000
BON,12.131000,-68.268000
BOO,67.269000,14.363000
BOP,5.958000,15.637000
BOR,0.000000,0.000000
BOS,42.364000,-71.005000
BOU,47.058000,2.370000
BOY,11.160000,-4.331000
BOZ,0.000000,0.000000
BPC,6.039000,10.123000
BPG,0.000000,0.000000
BPN,-1.268000,116.894000
BPT,29.951000,-94.021000
BPY,-16.742000,44.481000
BQH,51.331000,0.033000
BQK,0.000000,0.000000
BQN,18.495000,-67.129000
BQO,0.000000,0.000000
BQS,50.422000,127.410000
BRC,-41.151000,-71.157000
BRE,53.047000,8.787000
BRI,41.138000,16.761000
BRM,10.043000,-69.358000
BRN,46.914000,7.497000
BRO,25.907000,-97.426000
BRQ,49.151000,16.694000
BRR,0.000000,0.000000
BRS,51.383000,-2.719000
BRU,50.902000,4.499000
BRV,53.503000,8.573000
BRW,71.285000,-156.766000
BRX,18.251000,-71.120000
BSB,-15.862000,-47.913000
BSC,6.203000,-77.394000
BSF,19.760000,-155.554000
BSG,1.905000,9.806000
BSK,34.793000,5.738000
BSN,0.000000,0.000000
BSR,30.549000,47.662000
BST,0.000000,0.000000
BSU,0.000000,0.000000
BTA,0.000000,0.000000
BTB,0.000000,0.000000
BTE,0.000000,0.000000
BTH,1.121000,104.119000
BTI,70.134000,-143.577000
BTJ,5.523000,95.420000
BTK,56.371000,101.699000
BTR,30.533000,-91.149000
BTS,48.170000,17.212000
BTT,66.915000,-151.528000
BTU,3.172000,113.044000
BTV,44.472000,-73.153000
BTZ,40.232000,29.009000
BUD,47.437000,19.256000
BUF,42.940000,-78.732000
BUG,-12.609000,13.404000
BUI,0.000000,0.000000
BUN,3.819000,-76.990000
BUO,0.000000,0.000000
BUQ,-20.017000,28.618000
BUR,34.201000,-118.359000
BUW,0.000000,0.000000
BUX,1.566000,30.221000
BUZ,28.945000,50.834000
BVA,49.454000,2.113000
BVB,2.846000,-60.690000
BVC,16.137000,-22.889000
BVE,45.151000,1.469000
BVG,0.000000,0.000000
BVH,-12.694000,-60.098000
BWA,27.506000,83.416000
BWE,52.319000,10.556000
BWF,54.130000,-3.256000
BWI,39.175000,-76.668000
BWN,4.946000,114.928000
BWU,-33.924000,150.988000
BXB,0.000000,0.000000
BXD,0.000000,0.000000
BXE,14.847000,-12.468000
BXI,0.000000,0.000000
BXO,11.895000,-15.654000
BXU,0.000000,0.000000
BYC,0.000000,0.000000
BYH,35.964000,-89.943000
BYK,7.739000,-5.074000
BYM,20.396000,-76.621000
BYS,35.280000,-116.630000
BYU,49.984000,11.638000
BZE,17.539000,-88.308000
BZI,39.619000,27.925000
BZK,53.214000,34.176000
BZO,46.461000,11.326000
BZR,43.324000,3.356000
BZV,-4.252000,15.253000
BZZ,51.750000,-1.584000
CAB,-5.597000,12.188000
CAC,-25.000000,-53.501000
CAE,33.939000,-81.119000
CAG,39.251000,9.054000
CAI,30.122000,31.406000
CAJ,6.232000,-62.854000
CAM,-20.007000,-63.527000
CAN,23.184000,113.266000
CAP,19.732000,-72.195000
CAR,46.871000,-68.018000
CAS,33.553000,-7.661000
CAV,-11.894000,22.916000
CAW,-21.698000,-41.302000
CAX,54.938000,-2.809000
CAY,4.820000,-52.360000
CBB,-17.421000,-66.177000
CBD,0.000000,0.000000
CBG,52.205000,0.175000
CBH,0.000000,0.000000
CBL,8.122000,-63.537000
CBM,33.644000,-88.444000
CBN,-6.756000,108.539000
CBO,0.000000,0.000000
CBQ,4.976000,8.347000
CBR,-35.308000,149.194000
CBT,0.000000,0.000000
CBV,15.469000,-90.407000
CCF,43.216000,2.306000
CCH,-46.582000,-71.698000
CCJ,11.136000,75.955000
CCN,0.000000,0.000000
CCP,-36.773000,-73.063000
CCS,10.603000,-66.991000
CCU,22.655000,88.447000
CCV,0.000000,0.000000
CCZ,25.417000,-77.881000
CDB,55.206000,-162.724000
CDC,37.701000,-113.099000
CDG,49.013000,2.550000
CDJ,-8.348000,-49.301000
CDP,14.510000,78.773000
CDS,34.434000,-100.288000
CDU,-34.040000,150.687000
CDV,60.492000,-145.477000
CEB,7.165000,124.210000
CEF,42.198000,-72.534000
CEG,53.178000,-2.978000
CEK,55.303000,61.507000
CEN,27.392000,-109.833000
CEO,0.000000,0.000000
CEP,-16.143000,-62.026000
CEQ,43.542000,6.953000
CER,49.650000,-1.470000
CET,47.082000,-0.877000
CEW,30.779000,-86.522000
CFD,30.716000,-96.331000
CFE,45.786000,3.169000
CFG,22.150000,-80.414000
CFR,49.173000,-0.450000
CFS,-30.321000,153.116000
CFU,39.602000,19.912000
CGB,-15.653000,-56.117000
CGH,-23.627000,-46.655000
CGK,-6.126000,106.656000
CGN,50.866000,7.143000
CGO,34.519000,113.841000
CGP,22.249000,91.813000
CGQ,0.000000,0.000000
CGR,-20.469000,-54.672000
CGY,8.414000,124.611000
CGY,0.000000,0.000000
CHA,35.035000,-85.204000
CHC,-43.489000,172.532000
CHH,-6.202000,-77.856000
CHM,-9.151000,-78.524000
CHQ,35.532000,24.149000
CHR,46.862000,1.731000
CHS,32.899000,-80.040000
CHT,-43.810000,-176.457000
CHX,9.459000,-82.517000
CIA,41.799000,12.595000
CIC,39.795000,-121.858000
CIF,0.000000,0.000000
CIH,0.000000,0.000000
CIJ,-11.040000,-68.783000
CIP,0.000000,0.000000
CIS,-2.767000,0.000000
CIT,42.364000,69.479000
CIW,12.699000,-61.342000
CIX,-6.787000,-79.828000
CJA,0.000000,0.000000
CJB,11.031000,77.044000
CJC,-22.499000,-68.904000
CJS,31.636000,-106.429000
CJU,33.511000,126.493000
CKG,29.719000,106.641000
CKY,0.000000,0.000000
CLE,41.412000,-81.850000
CLF,52.755000,1.357000
CLJ,46.785000,23.686000
CLL,30.588000,-96.364000
CLN,-7.320000,-47.459000
CLO,3.543000,-76.381000
CLQ,19.277000,-103.577000
CLT,35.214000,-80.943000
CLY,42.531000,8.793000
CMB,7.181000,79.884000
CME,18.654000,-91.799000
CMF,45.638000,5.880000
CMG,-19.012000,-57.673000
CMH,39.998000,-82.892000
CMJ,0.000000,0.000000
CMN,33.368000,-7.588000
CMR,48.110000,7.359000
CMW,21.420000,-77.847000
CND,44.362000,28.488000
CNF,-19.634000,-43.969000
CNG,45.658000,-0.318000
CNM,32.337000,-104.263000
CNQ,-27.445000,-58.762000
CNS,-16.886000,145.755000
CNW,31.638000,-97.074000
COC,-31.297000,-57.996000
COF,28.235000,-80.610000
COG,5.072000,-76.676000
COH,26.330000,89.467000
COK,0.000000,0.000000
COO,6.357000,2.384000
COR,-31.324000,-64.208000
COS,38.806000,-104.700000
COT,28.458000,-99.220000
COU,38.818000,-92.219000
CPA,0.000000,0.000000
CPC,-40.075000,-71.137000
CPE,19.817000,-90.500000
CPH,55.618000,12.656000
CPO,-27.296000,-70.414000
CPR,42.908000,-106.464000
CPT,-33.965000,18.602000
CPV,0.000000,0.000000
CPX,0.000000,0.000000
CQF,50.962000,1.955000
CRA,44.318000,23.889000
CRD,-45.785000,-67.466000
CRL,50.459000,4.454000
CRP,27.770000,-97.501000
CRQ,-17.652000,-39.253000
CRV,38.997000,17.080000
CSB,45.420000,22.253000
CSF,49.253000,2.519000
CSK,12.410000,-16.746000
CST,0.000000,0.000000
CSX,0.000000,0.000000
CSX,28.189000,113.219000
CTA,37.467000,15.066000
CTB,48.608000,-112.376000
CTC,-28.596000,-65.752000
CTG,10.442000,-75.513000
CTL,-26.413000,146.262000
CTM,18.504000,-88.327000
CTS,42.775000,141.692000
CTT,43.252000,5.785000
CTU,30.578000,103.947000
CUC,7.928000,-72.511000
CUE,-2.889000,-78.984000
CUF,44.546000,7.622000
CUL,24.764000,-107.474000
CUM,10.450000,-64.130000
CUN,21.036000,-86.877000
CUP,10.660000,-63.262000
CUR,12.189000,-68.960000
CUU,28.703000,-105.964000
CUZ,-13.536000,-71.939000
CVF,0.000000,0.000000
CVG,39.046000,-84.662000
CVJ,18.835000,-99.262000
CVM,23.704000,-98.956000
CVQ,0.000000,0.000000
CVS,34.383000,-103.322000
CVT,52.370000,-1.480000
CWB,-25.528000,-49.176000
CWL,51.397000,-3.343000
CXB,21.452000,91.964000
CXI,1.986000,-157.350000
CXJ,-29.197000,-51.188000
CXL,32.669000,-115.513000
CXO,30.352000,-95.414000
CXP,-7.645000,109.034000
CYB,19.687000,-79.883000
CYI,23.462000,120.393000
CYO,21.616000,-81.546000
CYR,-34.456000,-57.771000
CYS,41.156000,-104.812000
CZE,11.415000,-69.681000
CZL,36.277000,6.624000
CZM,20.522000,-86.926000
CZS,-7.600000,-72.769000
CZU,9.332000,-75.286000
CZX,0.000000,0.000000
DAC,23.843000,90.398000
DAD,16.044000,108.199000
DAL,32.847000,-96.852000
DAM,33.411000,36.516000
DAR,-6.878000,39.203000
DAV,8.391000,-82.435000
DAY,39.902000,-84.219000
DBM,0.000000,0.000000
DBO,23.834000,86.425000
DBO,-32.217000,148.575000
DBT,0.000000,0.000000
DBV,42.561000,18.268000
DCA,38.852000,-77.037000
DCF,15.337000,-61.392000
DCI,39.354000,8.972000
DCM,43.556000,2.289000
DEB,47.489000,21.615000
DED,30.187000,78.180000
DEI,0.000000,0.000000
DEL,28.566000,77.103000
DEM,0.000000,0.000000
DEN,39.858000,-104.667000
DES,-5.696000,53.654000
DET,42.409000,-83.010000
DEZ,35.285000,40.176000
DFW,32.896000,-97.037000
DGO,24.124000,-104.528000
DGT,9.334000,123.302000
DGU,0.000000,0.000000
DHA,26.265000,50.152000
DHN,31.321000,-85.449000
DHR,52.923000,4.781000
DHT,36.023000,-102.547000
DIE,-12.349000,49.292000
DIJ,47.269000,5.090000
DIL,0.000000,0.000000
DIM,0.000000,0.000000
DIR,9.625000,41.854000
DIS,-4.208000,12.661000
DIS,0.000000,0.000000
DIY,37.894000,40.201000
DJB,-1.638000,103.644000
DJB,0.000000,0.000000
DJE,33.875000,10.775000
DJG,24.293000,9.452000
DJJ,-2.577000,140.516000
DJM,0.000000,0.000000
DJO,6.792000,-6.473000
DKR,14.739000,-17.490000
DLA,4.006000,9.719000
DLC,38.966000,121.538000
DLE,47.039000,5.427000
DLF,29.359000,-100.778000
DLG,59.045000,-158.503000
DLH,46.842000,-92.194000
DLM,36.713000,28.793000
DLY,0.000000,0.000000
DMA,32.166000,-110.883000
DMB,0.000000,0.000000
DMM,26.471000,49.798000
DNA,26.356000,127.767000
DND,56.453000,-3.026000
DNH,0.000000,0.000000
DNK,48.357000,35.102000
DNR,48.588000,-2.080000
DNZ,37.785000,29.701000
DOD,-6.170000,35.752000
DOG,19.154000,30.430000
DOH,25.261000,51.565000
DOK,48.073000,37.740000
DOL,49.365000,0.154000
DOM,15.547000,-61.300000
DOR,0.000000,0.000000
DOV,39.130000,-75.466000
DPA,41.908000,-88.249000
DPS,-8.748000,115.167000
DRI,30.832000,-93.340000
DRO,37.151000,-107.754000
